"id",Market,Product Name,Price,Original Price,Discount,Image URL,Local Image Path
"43","Tamstore Khatai","Hicaz Təzə Bud Dibi Aciq (kq.)","5.28","7.30","28%","No image",""
"44","Tamstore Khatai","Gerda Kərə Yağı Alman Kq","23.90","29.70","20%","https://imageproxy.wolt.com/assets/68b0d6f783a9e2e9a3cf8f60","images/gerda_k_r__ya___alman_kq_43.jpg"
"45","Tamstore Khatai","Gala Qulaq Copu 200 Ədəd","1.58","2.58","39%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/953524d4-8a29-11f0-aa32-d22c6018a2b4_8696870060286.jpg","images/gala_qulaq_copu_200__d_d_44.jpg"
"46","Tamstore Khatai","Lays Çips 70qr Paprika","1.35","1.79","25%","https://imageproxy.wolt.com/assets/68a5c95b10ec70798b76c14d","images/lays__ips_70qr_paprika_45.jpg"
"47","Tamstore Khatai","Dolmalıq Bibər kq","1.69","1.94","13%","No image",""
"48","Tamstore Khatai","Pomidor Zirə Super kq","3.99","4.58","13%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/5394db7c-8e44-11f0-89fd-26c3086e9ef5_121872.jpg","images/pomidor_zir__super_kq_47.jpg"
"49","Tamstore Khatai","Nar Super kq","5.50","6.34","13%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/58281348-8e44-11f0-b4b9-fe57de10a764_121943.jpg","images/nar_super_kq_48.jpg"
"50","Tamstore Khatai","DANONE CIYELEK YOQURT 100 GR","0.48","0.54","11%","https://imageproxy.wolt.com/assets/68ad7c9d5650c92c6dc8c34b","images/danone_ciyelek_yoqurt_100_gr_49.jpg"
"51","Tamstore Khatai","Hicaz Təzə Qanad Açıq kq","4.98","6.78","27%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/61e15cdc-8e44-11f0-b869-d24df15ae01e_123261.jpg","images/hicaz_t_z__qanad_a__q_kq_50.jpg"
"52","Tamstore Khatai","Alma Stornarid kq","1.55","1.79","13%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/55d8a7e2-8e44-11f0-a5d1-ce01291c54f2_121923.jpg","images/alma_stornarid_kq_51.jpg"
"53","Tamstore Khatai","Xurma kq","1.39","1.64","15%","No image",""
"54","Tamstore Khatai","Mercan Toyuq Qiymə Dondurulmuş Qabda Kq","3.99","5.00","20%","No image",""
"55","Tamstore Khatai","Domestos Tualet Geli 750ml Ultra Ağ","2.98","4.74","37%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/24df6e1e-97cc-11f0-8f01-3e65148455de_8712561346597.jpg","images/domestos_tualet_geli_750ml_ultra_a__54.jpg"
"56","Tamstore Khatai","Armud Konfrans Avropa kq","4.11","4.79","14%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/5ec63c0c-8e44-11f0-8693-eacbdd563ab7_121995.jpg","images/armud_konfrans_avropa_kq_55.jpg"
